Town Num,Town,County,Region,Interstate Miles,Interstate DVMT,Freeway Miles,Freeway DVMT,Principal Arterial Miles,Principal Arterial DVMT,Minor Arterial Miles,Minor Arterial DVMT,Major ColelctorMiles,Major Collector DVMT,Minor Collector Miles,Minor Collector DVMT,Local Miles,Local DVMT
54,Goshen,Litchfield,Litchfield Hills,0,0,0,0,0,0,5.7,29429,19.85,32794,4.87,1668,55.19,22076
55,Granby,Hartford,Capitol Region,0,0,0,0,5.9,51287,5.52,39835,16.25,58075,7.97,9911,82.48,47010
56,Greenwich,Fairfield,South Western,7.7,964994,7.7,389627,10.22,166311,22.65,179425,28.16,136902,0,0,210.26,145557
57,Griswold,New London,Southeastern CT,4.47,135258,0,0,0,0,10.23,80850,15.91,37034,3.19,4633,77.51,41597
58,Groton,New London,Southeastern CT,6.64,458274,0.46,8704,3,62653,26.26,247705,23.32,100695,0,0,110.74,49739
59,Guilford,New Haven,South Central,5.06,359780,0,0,3.73,22826,5.86,65116,37.77,132717,0,0,129.28,59972
60,Haddam,Middlesex,Lower CT River,0,0,7.23,193243,0,0,8.4,60128,17.36,53151,11.23,11574,78.52,39759
61,Hamden,New Haven,South Central,0,0,5.51,336664,12.14,254116,31.31,159753,13.01,50766,0,0,166.96,79047
62,Hampton,Windham,Windham,0,0,0,0,4.73,36886,0,0,7.9,6776,5.5,3018,37.64,15056
63,Hartford,Hartford,Capitol Region,9.2,1163357,2.78,110768,10.9,158188,42.14,432440,38.72,229573,0,0,121.71,87815
64,Hartland,Hartford,Litchfield Hills,0,0,0,0,0,0,0,0,19.68,14353,0,0,28.12,11248
65,Harwinton,Litchfield,Litchfield Hills,0,0,3.72,87134,2.64,23348,2.53,29770,14.03,39484,7.9,7304,56.34,29653
66,Hebron,Tolland,Capitol Region,0,0,0,0,4.45,45455,0,0,24.21,97816,7.32,9171,63.91,30630
67,Kent,Litchfield,Northwestern CT,0,0,0,0,0,0,10,28496,8.36,15990,14.05,10823,57.71,23084
68,Killingly,Windham,Northeastern CT,8.39,228278,4.38,19938,5.48,47415,15.44,116824,15.66,67623,10.33,12935,112.1,44665
69,Killingworth,Middlesex,Lower CT River,0,0,0,0,0,0,9.41,60957,11.28,22890,9.13,6762,61.47,24966
70,Lebanon,New London,Windham,0,0,2.58,61044,0.11,1188,0,0,25.86,81190,9.96,7940,82.88,33674
71,Ledyard,New London,Southeastern CT,0,0,0,0,7.16,86032,6.57,40307,13.41,46146,4.63,14627,101.14,43919
72,Lisbon,New London,Southeastern CT,3.13,123333,0,0,0,0,5.11,37161,10.14,34111,0,0,28.97,12412
73,Litchfield,Litchfield,Litchfield Hills,0,0,3.15,75899,9.35,85626,3.56,17144,28.04,89840,5.74,5556,98.33,41755
74,Lyme,New London,Lower CT River,0,0,0,0,0,0,2.4,4416,7.86,20444,4.92,1275,35.6,14453
75,Madison,New Haven,South Central,4.37,280483,0,0,2.27,10358,19.95,153936,17.9,47381,0,0,106.17,49083
76,Manchester,Hartford,Capitol Region,12.62,900102,0,0,6.45,100103,27.57,295533,30.59,163319,0,0,159.77,115276
77,Mansfield,Tolland,Windham,0,0,2.19,38064,14.57,167035,14.63,109910,21.19,60334,6.59,11739,86.45,46793
78,Marlborough,Hartford,Capitol Region,0,0,6.55,246090,4.51,47416,0,0,6.82,23616,1.33,1552,52.79,31106
79,Meriden,New Haven,South Central,8.52,627800,5.55,232682,6.75,96379,33.75,221698,15.25,55336,0,0,145.2,68745
80,Middlebury,New Haven,Central Naugatuck,4.95,341961,0,0,6.82,86823,4.72,25466,8.37,29453,4.66,6501,54.28,32194
81,Middlefield,Middlesex,Lower CT River,0,0,0.58,16214,2.7,67234,4.26,24551,9.14,25410,0,0,29.41,13644
82,Middletown,Middlesex,Lower CT River,4.66,528483,6.16,225331,11.21,195491,18.74,138697,27.93,117958,0,0,160.8,115850
83,Milford,New Haven,South Central,6.79,840602,3.8,200166,6.26,133282,38.52,267753,18.6,61972,0,0,160.58,123482
84,Monroe,Fairfield,Greater Bridgeport,0,0,0,0,5.71,99481,14.8,104228,23.3,61585,0.61,2135,110.06,83692
85,Montville,New London,Southeastern CT,5.46,293571,2.62,70384,3.03,38811,8.95,93759,20.22,67080,3.93,11617,105.83,46235
86,Morris,Litchfield,Litchfield Hills,0,0,0,0,0.39,2535,3.21,9264,13.92,37666,0,0,28.5,11400
87,Naugatuck,New Haven,Central Naugatuck,0,0,3.5,178954,6.18,81595,5.26,43928,22.29,75461,0,0,83.87,56106
88,New Britain,Hartford,Central CT,1.54,120459,6.27,353344,2.85,32093,22.94,201336,24.83,122851,0,0,124.75,90008
89,New Canaan,Fairfield,South Western,0,0,3.41,224360,9.89,95577,12.85,62534,21.8,51699,0,0,94.07,72337
90,New Fairfield,Fairfield,Housatonic Valley,0,0,0,0,0,0,14.64,75923,7.59,27137,0,0,63.51,50810
91,New Hartford,Litchfield,Litchfield Hills,0,0,0,0,11.16,127784,0,0,13.82,29543,5.66,2941,69.78,33267
92,New Haven,New Haven,South Central,7.44,909987,2.67,162134,23.5,336608,48.75,377658,19.18,108064,0,0,156.13,73919
94,New London,New London,Southeastern CT,1.92,150217,1.13,19875,8.58,93514,5.5,56569,14.11,68516,0,0,47.48,21326
95,New Milford,Litchfield,Housatonic Valley,0,0,0,0,13.38,259136,20.88,136467,7.98,25499,12.67,9777,181.85,126236
93,Newington,Hartford,Capitol Region,0,0,1.87,85902,3.5,127419,15.74,223534,11.54,100779,0,0,89.29,64424
96,Newtown,Fairfield,Housatonic Valley,8.08,622272,0,0,11.17,167058,11.32,104518,28.71,90343,11.81,17097,205.88,154326
97,Norfolk,Litchfield,Litchfield Hills,0,0,0,0,5.69,26738,0,0,13.54,10778,0,0,52.74,21096
98,North Branford,New Haven,South Central,0,0,0,0,10.41,110668,9.84,93809,10.96,20304,0,0,66.1,31234
99,North Canaan,Litchfield,Northwestern CT,0,0,0,0,8.79,45658,1.93,8344,0.19,171,5.37,7423,31.09,12436
100,North Haven,New Haven,South Central,7.04,654636,6.2,292404,4.84,40862,28.16,226133,13.53,74577,0,0,102.64,48595
101,North Stonington,New London,Southeastern CT,3.8,126578,0,0,7.32,108221,1.76,6272,24.02,63590,5.99,3992,56.87,22981
102,Norwalk,Fairfield,South Western,4.38,593749,8.21,431874,14.71,280041,24.29,168963,30.07,139773,0,0,194.36,149458
103,Norwich,New London,Southeastern CT,7.82,430492,2.95,79829,5.58,61742,19.96,195809,27.54,98008,0,0,133.88,60132
104,Old Lyme,New London,Lower CT River,4.9,320825,0,0,0,0,5.3,29869,17.56,58534,0,0,52.01,23110
105,Old Saybrook,Middlesex,Lower CT River,4.49,256671,2.11,49804,0,0,5.38,69926,14.76,66767,0,0,70.48,33369
106,Orange,New Haven,South Central,1.02,124170,3.85,237452,6.77,177143,23.77,164675,10.81,29575,0,0,84.32,39921
107,Oxford,New Haven,Central Naugatuck,0,0,0,0,2.04,22032,6.94,76635,18.92,51034,7.56,12110,93.21,63477
108,Plainfield,Windham,Northeastern CT,9.73,261333,0.11,517,0,0,13.44,88771,14.83,50066,8.64,11203,92.63,43874
109,Plainville,Hartford,Central CT,2.35,214982,2.95,141084,5.24,71589,13.17,125299,4.72,35410,0,0,56.58,40823
110,Plymouth,Litchfield,Central CT,0,0,0,0,4.74,63993,7.6,17951,21.67,32168,0,0,61.3,41910
111,Pomfret,Windham,Northeastern CT,0,0,0,0,0,0,11.3,68405,15.48,36095,5.98,4421,58.41,23358
112,Portland,Middlesex,Lower CT River,0,0,0,0,7.98,109808,5.55,32834,11.06,10412,3.46,1786,48.65,31274
113,Preston,New London,Southeastern CT,0,0,0.41,9799,9.51,123302,0,0,12.52,69448,0.66,1188,54.36,22106
114,Prospect,New Haven,Central Naugatuck,0,0,0,0,4.58,44455,6.22,49110,10.44,25224,0,0,46.75,29696
115,Putnam,Windham,Northeastern CT,3.8,91874,0,0,3.62,35756,10.27,68909,14.25,23339,0,0,54.59,21721
116,Redding,Fairfield,Housatonic Valley,0,0,0,0,0.67,12261,0.36,3086,19,86845,9.21,14391,81.6,41736
117,Ridgefield,Fairfield,Housatonic Valley,0,0,0,0,10.38,175878,15.08,86961,14.64,43343,0,0,154.06,116677
118,Rocky Hill,Hartford,Capitol Region,4.11,588272,0,0,0,0,13.4,150446,9.68,30720,0,0,53.67,38723
119,Roxbury,Litchfield,Northwestern CT,0,0,0,0,0,0,7.59,24591,5.82,9399,10.02,8441,50.53,20212
120,Salem,New London,Southeastern CT,0,0,4.09,39950,3.99,45243,4.66,16488,7.19,20896,0,0,40.65,16799
121,Salisbury,Litchfield,Northwestern CT,0,0,0,0,8.83,42638,1.31,2438,14.83,34371,14.65,3339,55.28,22112
